early_stopping_rounds,eta,gamma,max_depth,n_iters,num_boost_round,index,test-auc-mean,test-auc-std,test-error-mean,test-error-std,test-logloss-mean,test-logloss-std,train-auc-mean,train-auc-std,train-error-mean,train-error-std,train-logloss-mean,train-logloss-std
500,0.05,0,10,502,10000,501,0.70994775,0.002676663162876495,0.35565525000000003,0.0036291307068635676,0.6198155,0.002169648185766539,0.8911437499999999,0.0029965100012347796,0.19663425,0.004529491051707689,0.49127974999999996,0.0031904927029378955
500,0.1,0,10,207,1000,206,0.709692,0.003289572920608381,0.35453475,0.004090144519145984,0.61985075,0.0021928781743407715,0.88383775,0.003848951569908356,0.20641099999999998,0.0043325420367262436,0.4998125,0.0036964702420011386
500,0.05,0,50,43,1000,42,0.716233,0.0017355432866972957,0.347614,0.003749227587117105,0.619201,0.001945981115016283,0.97031,0.0017582683242326586,0.09341775,0.003732036198578462,0.38267725,0.004469409321990999
500,0.05,0,25,124,10000,123,0.7201992500000001,0.002992239075926254,0.34352774999999997,0.0036814928612588583,0.61447875,0.0023439092745880805,0.95536175,0.0021624557076388587,0.11890324999999999,0.0028148618416362816,0.40743375,0.004178499992521257
500,0.1,0,35,32,10000,31,0.7166885,0.003382789122898471,0.346032,0.004174684838403973,0.61962275,0.00296222588394268,0.965637,0.0016732991364367378,0.1032825,0.0034606306144978815,0.38326875000000005,0.004185853220969419
500,0.01,0,15,1376,10000,1375,0.7172685,0.005275905159306766,0.3487345,0.005568978609224502,0.614871,0.003819091056782996,0.92208675,0.0009632954829645909,0.16337125,0.0009088048126523078,0.45956375000000005,0.0008381859504310572
500,0.1,0,5,1000,1000,999,0.6938502499999999,0.0044129142510930435,0.36376224999999995,0.003315850070117763,0.63296475,0.0050103454159867835,0.8743815,0.002018068073678396,0.21436424999999998,0.0019337930829072705,0.49557275,0.0031029684477126168
500,0.05,0,25,124,1000,123,0.7201992500000001,0.002992239075926254,0.34352774999999997,0.0036814928612588583,0.61447875,0.0023439092745880805,0.95536175,0.0021624557076388587,0.11890324999999999,0.0028148618416362816,0.40743375,0.004178499992521257
500,0.1,0,20,69,1000,68,0.71700175,0.0036932422324429007,0.345175,0.005627917776584868,0.6151435000000001,0.0028097973681388702,0.93578975,0.0016819150357553839,0.14548725,0.003059969556629612,0.4404485,0.002222193342173462
500,0.05,0,50,43,10000,42,0.716233,0.0017355432866972957,0.347614,0.003749227587117105,0.619201,0.001945981115016283,0.97031,0.0017582683242326586,0.09341775,0.003732036198578462,0.38267725,0.004469409321990999
500,0.1,0,45,29,10000,28,0.7189807500000001,0.0011494275477384442,0.3435275,0.0016037943290833773,0.620916,0.0011674225884400126,0.974396,0.0014597265154815769,0.0876615,0.0028685203938616163,0.35741025000000004,0.0047362264713060225
500,0.01,0,25,598,10000,597,0.720366,0.0038349005854128645,0.34234075,0.00484158379949164,0.613976,0.003084100922473163,0.9546595,0.00240597906266869,0.119672,0.002551320932379929,0.41087225,0.004562884853631537
500,0.01,0,10,1000,1000,999,0.70937775,0.004089243962824896,0.35440249999999995,0.00674591811764714,0.6222555000000001,0.0023031397591114565,0.8511495000000001,0.0022986793491046043,0.23826774999999997,0.0015148860311917835,0.53983125,0.002602407479143131
500,0.1,0,15,134,10000,133,0.7162525000000001,0.004496870050379504,0.3494595,0.0037909794578710135,0.6151089999999999,0.003204189913223014,0.9208620000000001,0.003325882439293395,0.1637225,0.004814825048742678,0.4577755,0.003714682254244622
500,0.05,0,5,1077,10000,1076,0.696872,0.004281254547442859,0.36415749999999997,0.004321557155702093,0.6292409999999999,0.0033847106966475114,0.8342594999999999,0.0012999158626619,0.2519115,0.0030189551586600294,0.54105,0.0018009054667027632
500,0.05,0,30,76,1000,75,0.72061075,0.005000540239564127,0.3421435,0.006278815393846188,0.61467425,0.003912494496801245,0.9610382499999999,0.0017530262940127252,0.11059849999999999,0.0025397661801827374,0.39799275000000006,0.004558822620754191
500,0.05,0,10,1000,1000,999,0.7090695,0.0025199299097395417,0.35361200000000004,0.003956551781539075,0.62383575,0.0032989538019650992,0.9261984999999999,0.00238611289548501,0.15818625,0.004102190108649277,0.43746075,0.003523883963398903
500,0.1,0,10,207,10000,206,0.709692,0.003289572920608381,0.35453475,0.004090144519145984,0.61985075,0.0021928781743407715,0.88383775,0.003848951569908356,0.20641099999999998,0.0043325420367262436,0.4998125,0.0036964702420011386
500,0.01,0,5,5287,10000,5286,0.6953914999999999,0.004557314477847672,0.36541,0.0030520903492524537,0.63032175,0.0036042802592889263,0.8293895,0.001624671120565659,0.257514,0.003697056667134019,0.5455037500000001,0.001901123269938086
500,0.01,0,5,1000,1000,999,0.6826697500000001,0.0030351945880783306,0.37404424999999997,0.004047426304146879,0.6425527499999999,0.0015102660982423035,0.7499005,0.0034182510513419023,0.328434,0.0035358610691032417,0.61238225,0.002133139279911169
500,0.1,0,50,18,1000,17,0.7122427499999999,0.002551031396807985,0.3480755,0.001044153365171997,0.6210039999999999,0.0018584341527210504,0.96411475,0.0019647930393555343,0.10484199999999999,0.0023093448205064606,0.404891,0.0037298158131468056
500,0.01,0,35,398,10000,397,0.7216547499999999,0.0029004811993012564,0.34247325,0.005718670491250562,0.61564675,0.002407043038148658,0.969472,0.000875677737526734,0.096208,0.0017504756496449746,0.37511300000000003,0.0027376758391014877
500,0.1,0,25,63,10000,62,0.7196607500000001,0.005074872381400345,0.34253875,0.005719746689102583,0.61552175,0.004045037909278486,0.9549705,0.0030373546467279437,0.11877175,0.004799587918509258,0.40429574999999995,0.005616565559797205
