early_stopping_rounds,eta,gamma,max_depth,n_iters,num_boost_round,index,test-auc-mean,test-auc-std,test-error-mean,test-error-std,test-logloss-mean,test-logloss-std,train-auc-mean,train-auc-std,train-error-mean,train-error-std,train-logloss-mean,train-logloss-std
10,0.08,0.1,5,430,2000,429,0.69469625,0.00417597062818936,0.3645535,0.0015188055339641088,0.63105425,0.003222687029095441,0.81060225,0.0021999044723578567,0.27366225,0.0034614792629019246,0.56397725,0.0018901093057016617
10,0.2,0.0,5,10,10,9,0.65244,0.002091298041886919,0.39579475,0.005737811489365955,0.6592264999999999,0.0014279384615591615,0.69301575,0.003808628780479933,0.367541,0.004667493385105113,0.6456145,0.0009587128089266507
10,0.2,0.1,10,10,10,9,0.68372575,0.005138616952789903,0.37417625000000004,0.0027610942916713346,0.639667,0.0029476332030970004,0.7932717499999999,0.0026451632629196815,0.29207324999999995,0.002995879117638093,0.59004975,0.0017096782409272103
10,0.1,0.1,10,173,1000,172,0.71058475,0.004525290840100788,0.35374350000000004,0.004345650728026812,0.61996325,0.0022761853368080454,0.873518,0.0012200448762238164,0.215902,0.0004703541219124182,0.511993,0.0017879240755692169
10,0.04,0.1,10,327,2000,326,0.71128025,0.00380471335155486,0.35334825000000003,0.0035731167329797735,0.6197815,0.0019172770404926032,0.8632960000000001,0.002578065456888164,0.22651375,0.0016411176641240627,0.5258925,0.0020832991263858244
10,0.02,0.0,5,10,10,9,0.6246185,0.010106808212784065,0.4153705,0.0035000216070761717,0.6841375,0.0004321657668071149,0.64849525,0.006473927995235943,0.40126550000000005,0.004789628717343345,0.6822775,0.0001807740302145018
10,0.03,0.1,10,500,500,499,0.7097344999999999,0.003933149660259583,0.35321650000000004,0.004564217156314967,0.620479,0.0022362467439887173,0.8670205000000001,0.0020046956751586876,0.22291100000000003,0.0008798758435143003,0.5210505,0.002137805709132625
10,0.2,0.0,10,77,1000,76,0.70880375,0.003676070345831282,0.35420525,0.004460840636864314,0.620679,0.0016002865368427302,0.8694235,0.0013519930658106227,0.22025224999999998,0.0025183472134517135,0.51329,0.001760625173056443
10,0.04,0.0,5,500,500,499,0.6928055000000001,0.0035877294003310847,0.36560775,0.006768961123207904,0.6345215,0.0021138340166625895,0.782987,0.002351661965504376,0.29916975,0.001808779059890965,0.5877282500000001,0.0018764293718389804
10,0.04,0.1,10,327,1000,326,0.71128025,0.00380471335155486,0.35334825000000003,0.0035731167329797735,0.6197815,0.0019172770404926032,0.8632960000000001,0.002578065456888164,0.22651375,0.0016411176641240627,0.5258925,0.0020832991263858244
10,0.01,0.0,5,2000,2000,1999,0.69098425,0.004977450771981561,0.36824425000000005,0.006402255749929074,0.635566,0.002658623892166777,0.77879175,0.0028556432178232826,0.30253099999999994,0.002399020425090208,0.590616,0.002028368802757521
