f_number;thm_prm;feature;importance
3119;thm;k1_partfun1-V;1088
13274;prm;v5_orders_2;1088
15610;prm;=-k4_xboole_0;1087
14772;prm;r2_lattice3;1085
19215;prm;k3_xboole_0-V;1082
10560;prm;k4_zfmisc_1-V;1081
6559;thm;r1_xboole_0(A,k4_xboole_0(A,A));1080
205;thm;v1_ordinal1;1066
5134;thm;m1_subset_1-V;1065
15780;prm;r1_tarski(k2_xboole_0(A,A),k2_xboole_0(A,A));1061
940;thm;k8_relat_1-V;1060
2175;thm;k8_relset_1-V;1058
1150;thm;v2_lattice3;1057
1624;thm;=(A,g1_pre_topc(u1_struct_0(A),u1_pre_topc(A)));1055
10692;prm;k3_mcart_1-V;1052
10461;prm;r3_xboole_0-V;1052
2259;thm;r1_ordinal1(A,A);1051
1410;thm;v1_tops_1-V;1050
11245;prm;v2_wellord1(A);1046
10314;prm;k1_relset_1-V;1042
17809;prm;=(A,k3_xboole_0(A,A));1040
12940;prm;k2_enumset1(A,A,A,A);1036
10821;prm;=(k3_xboole_0(A,A),A);1035
1838;thm;r3_lattices(A,A,A);1032
799;thm;k1_zfmisc_1(k1_zfmisc_1(A));1032
16440;prm;k1_zfmisc_1(A);1024
15250;prm;=-k1_tarski;1017
12060;prm;k1_yellow_0(A,A);1016
15064;prm;r1_lattices(A,A,A);1012
10500;prm;v1_partfun1(A,A);1011
1652;thm;k5_partfun1-V;1011
4809;thm;r1_xboole_0(k3_xboole_0(A,A),A);1010
13360;prm;k1_partfun1-V;998
15707;prm;=(k4_xboole_0(A,A),A);997
1437;thm;k2_wellord1(A,A);997
11523;prm;v2_funct_1;992
17721;prm;k2_xboole_0-k2_xboole_0;992
5203;thm;k1_tsep_1;989
11604;prm;v3_ordinal1-V;981
14579;prm;k4_tarski-V;976
12500;prm;r1_ordinal1(A,A);970
1259;thm;m1_connsp_2;969
8687;thm;=-k2_tarski;966
4531;thm;r2_lattice3;966
1471;thm;k5_lattices(A);963
9087;thm;k2_xboole_0(k2_xboole_0(k2_xboole_0(A,A),A),A);961
702;thm;r1_lattice3;960
11096;prm;k6_relat_1-V;958
2014;thm;k2_struct_0;956
8508;thm;k4_xboole_0-V;955
6885;thm;k7_filter_0(A,A,A);952
1051;thm;r2_relset_1-V;951
5939;thm;k7_subset_1-V;948
2174;thm;v4_tops_1-V;946
15444;prm;k1_tsep_1;945
11087;prm;k2_tsep_1;939
14526;prm;k9_relat_1;934
2397;thm;k2_wellord1(k2_wellord1(A,A),A);933
12606;prm;m1_pre_topc-k2_tsep_1;932
1009;thm;k2_tops_1;929
3638;thm;k6_relset_1;927
4291;thm;=(A,k2_tarski(A,A));926
15562;prm;r1_tarski(k2_xboole_0(A,A),A);923
11292;prm;r2_relset_1-V;922
19224;prm;=-k3_tarski;919
2452;thm;r1_tarski(A,k3_tarski(A));917
117;thm;=(k8_relset_1(A,A,A,A),A);912
12612;prm;k1_ordinal1(A);911
6781;thm;v1_borsuk_1-V;910
