f_number;thm_prm;feature;importance
14272;prm;=(u1_struct_0(A),u1_struct_0(A));0.17651030009009022
6090;thm;=(k2_xboole_0(k1_tarski(A),k1_tarski(A)),k1_tarski(A));0.176335
2290;thm;=-k8_tmap_1;0.17604750851851853
11120;prm;k7_relat_1-k7_relat_1;0.17571805414141414
9650;thm;=(k2_xboole_0(k2_tarski(A,A),A),k1_xboole_0);0.17569714285714283
508;thm;v5_ordinal1-V;0.17532938913043478
11926;prm;=-V;0.17529894559927003
820;thm;v1_tex_2-V;0.17511276699032285
12486;prm;r1_xboole_0;0.17500138123741768
18370;prm;=(A,k2_mcart_1(A));0.17469835287128713
2275;thm;=(k2_struct_0(A),k3_subset_1(u1_struct_0(A),k1_struct_0(A)));0.1745029857142857
12346;prm;k1_zfmisc_1-V;0.17442935758353445
11914;prm;r2_lattice3(A,k1_xboole_0,A);0.1742489
3692;thm;v4_lattice3-V;0.17412416918811904
2461;thm;r1_tarski(k2_tops_1(A,k2_pre_topc(A,A)),k2_tops_1(A,A));0.17396613417721515
13759;prm;k3_xboole_0(k1_tarski(A),A);0.17383930000000003
1363;thm;v3_ordinal1-V;0.17361054276596044
3776;thm;r1_tarski(A,k2_relset_1(A,A,A));0.17360554583333332
5524;thm;=(k2_mcart_1(A),A);0.1734624158571428
10765;prm;k1_zfmisc_1-u1_struct_0;0.173373012508353
4648;thm;v2_tops_2-k7_setfam_1;0.1732488333333333
2570;thm;r2_funct_2-u1_struct_0;0.17318711654545452
2516;thm;m1_subset_1(A,u1_struct_0(A));0.17318608502598518
446;thm;r1_tarski(k7_setfam_1(A,A),k7_setfam_1(A,A));0.1731789007728723
17913;prm;k9_setfam_1(A);0.17307013333333332
11;thm;r2_hidden(A,k1_relat_1(A));0.17297450774744205
16234;prm;k2_xboole_0(A,k4_xboole_0(A,A));0.17287703412156882
4171;thm;r1_xboole_0(k2_xboole_0(A,A),A);0.17271721510454563
958;thm;v2_waybel_0(A,k3_yellow_1(k2_struct_0(A)));0.17268843571428572
16440;prm;k1_zfmisc_1(A);0.17237262674672826
2160;thm;k4_setfam_1;0.17225520722891563
11253;prm;k2_xboole_0-k1_xboole_0;0.17223114769230757
11205;prm;k6_waybel_0-V;0.17204574045045043
12749;prm;=(k5_relat_1(A,k6_relat_1(A)),A);0.17189396666666665
2105;thm;k1_zfmisc_1-V;0.1718212179326532
382;thm;k10_relat_1-k2_relat_1;0.17168724615384615
187;thm;v6_relat_2-k1_wellord2;0.17161773684210524
4182;thm;r1_tarski(k5_partfun1(A,A,A),k5_partfun1(A,A,A));0.17154819244064745
2581;thm;k3_xboole_0(k7_relat_1(A,A),k7_relat_1(A,A));0.17149946451612907
16337;prm;k1_funct_2(A,A);0.1713715201044082
1682;thm;k8_tmap_1;0.17118622653773577
19215;prm;k3_xboole_0-V;0.1711535609852124
11402;prm;k2_mcart_1(A);0.1711201466288417
3138;thm;r2_orders_2-V;0.1710883729937105
11707;prm;=(k5_relat_1(A,A),k5_relat_1(A,A));0.1710182454545455
11880;prm;k1_relat_1-k2_zfmisc_1;0.17092703478260873
12487;prm;k5_waybel_0(A,A);0.17075152951351352
10324;prm;k2_waybel_0-V;0.1707418267251462
10890;prm;k4_xboole_0(k2_tarski(A,A),k1_tarski(A));0.170543
274;thm;k9_relat_1-k2_funct_1;0.17037035555555557
138;thm;v3_tex_2;0.1702558490813252
13730;prm;r2_hidden(A,k3_orders_2(A,A,A));0.17016102941860464
13360;prm;k1_partfun1-V;0.17001080244989972
15389;prm;r1_tarski(k2_relat_1(k8_relat_1(A,A)),A);0.16992133606557375
2845;thm;=(A,k3_relat_1(A));0.16977859696969702
1667;thm;k1_lattice3;0.16976689999999992
